UID,SEG,translation,profanity
METALW-027969-0009,queso,cheese,None
METALW-027969-0010,Encontré denvers pizza pizza pizza,I found denvers pizza pizza pizza,None
METALW-027970-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027970-0001,¿Puedes ayudarme a encontrar algunos restaurantes a mi alrededor?,Can you help me find some restaurants around me?,None
METALW-027970-0002,"Sí, puedo.","Yes, I can.",None
METALW-027970-0003,¿Dónde hay algo más que no sirve tomates?,Where's something else that doesn't serve tomatoes?,None
METALW-027970-0004,Sugiero a Ichiban.,I suggest Ichiban.,None
METALW-027970-0005,¿Qué tipo de comida tienen?,What kind of food do you have?,None
METALW-027970-0006,"Ichiban es un restaurante de fusión japonés que sirve sushi, tenpanyaki, bentos y fideos.","Ichiban is a Japanese fusion restaurant serving sushi, tenpanyaki, bentos and noodles.",None
METALW-027970-0007,"¡Mientras conoces tus cosas, gracias!","While you know your stuff, thank you!",None
METALW-027970-0008,¿Necesitas ayuda con otra cosa?,Do you need help with something else?,None
METALW-027970-0009,Es todo,That's all,None
METALW-027970-0010,Bien,Not bad,None
METALW-027971-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027971-0001,Me puedes ayudar,Can you help me,None
METALW-027971-0002,Definitivamente puedo ayudarte. ¿Con qué necesitas ayuda?,I can definitely help you. What do you need help with?,None
METALW-027971-0003,Necesito un lugar local para comer que no sirva ningún artículo que involucre tomates,I need a local place to eat that doesn't serve any items involving tomatoes,None
METALW-027971-0004,¡Puedo ayudar con eso! ¿En qué ciudad estás?,I can help with that! What city are you in?,None
METALW-027971-0005,"denver, co","denver, co",None
METALW-027971-0006,¿Hay algún tipo de cocina que te interese particularmente? ¿Chino? ¿indio?,Is there some kind of cuisine you're particularly interested in? Chinese? Indian?,None
METALW-027971-0007,Chino,Chinese,None
METALW-027971-0008,Su ubicación muestra Star Kitchen y Zoe Ma Ma como algunos restaurantes chinos.,Its location shows Star Kitchen and Zoe Ma Ma as some Chinese restaurants.,None
METALW-027971-0009,Gracias,Thank you,None
METALW-027971-0010,¡No hay problema!,No problem!,None
METALW-027972-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027972-0001,Hola estoy buscando una sugerencia de restaurante,Hi I'm looking for a restaurant suggestion,None
METALW-027972-0002,Puedo ayudarte a sugerirte un restaurante. ¿Estás buscando algo específico?,I can help you suggest a restaurant. Looking for something specific?,None
METALW-027972-0003,"Me gustaría encontrar un restaurante que no sirve nada con tomates, muy alérgico!","I would like to find a restaurant that serves nothing with tomatoes, very allergic!",None
METALW-027972-0004,Bien. ¿Cómo suena una barra de sushi? No tienen tomates allí,Not bad. What does a sushi bar sound like? They don't have tomatoes there.,None
METALW-027972-0005,¡Eso suena bien! ¿Puedes decirme un buen lugar de Sushi en Oak Park?,That sounds good! Can you tell me a good sushi place in Oak Park?,None
METALW-027972-0006,Sí. Ra Sushi en Oak Park tiene una calificación de 5.0 estrellas.,Yes. Ra Sushi in Oak Park has a 5.0 star rating.,None
METALW-027972-0007,"Eso suena genial, ¿qué tan tarde están abiertos?","That sounds great, how late are they open?",None
METALW-027972-0008,cierran a las 2 de la madrugada todos los días,close at 2 a.m. every day,None
METALW-027972-0009,Gracias,Thank you,None
METALW-027972-0010,En cualquier momento. ¿Necesitas que busque algo más?,Any minute now. Do you need me to look for anything else?,None
METALW-027973-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027973-0001,"Hola, necesito ayuda para encontrar un restaurante en mi área","Hi, I need help finding a restaurant in my area",None
METALW-027973-0002,seguro.,sure.,None
METALW-027973-0003,Estoy buscando cocina francesa auténtica barata,I'm looking for cheap authentic French cuisine,None
METALW-027973-0004,comprobación,check,None
METALW-027973-0005,Bien,Not bad,None
METALW-027973-0006,Hay un restaurante francés llamado Pepe Lepew cerca.,There is a French restaurant called Pepe Lepew nearby.,None
METALW-027973-0007,"No me gusta ese lugar, huele mal. ¿Tienes otros?","I don't like that place, it smells bad. Do you have any others?",None
METALW-027973-0008,comprobación. no. Es la más cercana de tu área.,check. No. It's the closest in your area.,None
METALW-027973-0009,"Bueno, gracias de todos modos.","Well, thanks anyway.",None
METALW-027973-0010,Me alegro de servir.,I'm glad to serve.,None
METALW-027974-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027974-0001,ayúdame a encontrar un restaurante,help me find a restaurant,None
METALW-027974-0002,¿Te gusta el jardín de tomates?,Do you like the tomato garden?,None
METALW-027974-0003,"No, absolutamente no en tomates","No, absolutely not in tomatoes",None
METALW-027974-0004,¿Qué tal el sushi de Little China,How about Little China sushi,None
METALW-027974-0005,¿Tienen ingredientes de tomate?,Do you have tomato ingredients?,None
METALW-027974-0006,No,No,None
METALW-027974-0007,que funciona. reserve 2 asientos,that works. book 2 seats,None
METALW-027974-0008,Considéralo hecho,Consider it done,None
METALW-027974-0009,gracias bot,thanks bot,None
METALW-027974-0010,En cualquier momento,Any time,None
METALW-027975-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027975-0001,¿Puedes encontrar algunos restaurantes en mi área,Can you find some restaurants in my area,None
METALW-027975-0002,¿Qué tipo de cocina estás buscando?,What kind of kitchen are you looking for?,None
METALW-027975-0003,En busca de un restaurante italiano,Looking for an Italian restaurant,None
METALW-027975-0004,"¿Qué tal Bello Italiano? Está a 4,2 millas de distancia y tiene una calificación de 4,4/5 estrellas",How about Bello Italiano? It is 4.2 miles away and has a rating of 4.4/5 stars,None
METALW-027975-0005,¿Sirven tomates allí,Do you serve tomatoes there,None
METALW-027975-0006,Lo hacen,They do.,None
METALW-027975-0007,"Bien, eso no funcionará necesito un restaurante que no sirva tomates","Well, that won't work I need a restaurant that doesn't serve tomatoes",None
METALW-027975-0008,No pude encontrar ningún restaurante italiano que no sirviera tomates,I couldn't find any Italian restaurants that didn't serve tomatoes.,None
METALW-027975-0009,¿Hay algún otro restaurante en mi área que no sirve tomates independientemente de la cocina,Is there any other restaurant in my area that doesn't serve tomatoes regardless of the kitchen,None
METALW-027975-0010,The SteakHouse es un establecimiento solo de carne que no sirve tomates.,The SteakHouse is a meat-only property that does not serve tomatoes.,None
METALW-027976-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027976-0001,Tengo cierta preocupación,I have some concern,None
METALW-027976-0002,"Sí, ¿cuál es la preocupación?","Yes, what's the concern?",None
METALW-027976-0003,"Puedes consultar el menú de restaurantes, ¿verdad?","You can check the restaurant menu, can't you?",None
METALW-027976-0004,Sí puedo,"Yes, I can.",None
METALW-027976-0005,¿Puedes sugerir un restaurante que no ofrezca tomates?,Can you suggest a restaurant that doesn't offer tomatoes?,None
METALW-027976-0006,¿Qué tal La fábrica de espaguetis?,How about the spaghetti factory?,None
METALW-027976-0007,Suena bien.,Sounds good.,None
METALW-027976-0008,¿Te reservo una mesa?,Can I book you a table?,None
METALW-027976-0009,Eso está bien iii sólo ir allí para verificar su menú,That's okay iii just go there to check your menu,None
METALW-027976-0010,ok muy bien,ok very well,None
METALW-027977-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-027977-0001,¿Puedes encontrarme un restaurante? Hola,Can you find me a restaurant? Hello,None
METALW-027977-0002,¿Seguro qué tipo de restaurante? ¿Hola?,Are you sure what kind of restaurant? Hello?,None
METALW-027977-0003,Encuéntrome algo para cenar en esa comida sin incluir tomates,Find me something to dine at that meal without including tomatoes,None
METALW-027977-0004,"Bueno, normalmente la comida china no usa muchos tomates. ¿Te gusta eso?","Well, usually Chinese food doesn't use a lot of tomatoes. You like that?",None
METALW-027977-0005,¡impresionante!,impressive!,None
METALW-027977-0006,"El Palacio de China tiene 2 años. A 1 km. Tienen 4,8 estrellas en Yelp",The Palace of China is 2 years old. 1 km away. They have 4.8 stars on Yelp,None
METALW-027977-0007,¡Gracias!,Thank you!,None
METALW-027977-0008,¡De nada! ¿Algo más?,You are welcome! Anything else?,None
