UID,SEG,translation,profanity
METALW-023574-0001,¿Puedes ayudarme con una tarea?,Can you help me with a task?,None
METALW-023574-0002,Sí. Soy útil con las tareas.,Yes. I'm useful with homework.,None
METALW-023574-0003,Necesito saber cómo diseñar un sitio web,I need to know how to design a website,None
METALW-023574-0004,Esa tarea es complicada de ayudar.,That task is complicated to help.,None
METALW-023574-0005,¿A quién se supone que debo ir entonces?,Who am I supposed to go to then?,None
METALW-023574-0006,Puedo enviarte enlaces a sitios web que pueden crearlo para ti o para tutoriales en vídeo.,I can send you links to websites that can create it for you or for video tutorials.,None
METALW-023574-0007,"Ah, eso sería muy útil gracias","Oh, that would be very useful thank you",None
METALW-023574-0008,He enviado los enlaces a su correo electrónico. Deberían llegar pronto.,I have sent the links to your email. They should be here soon.,None
METALW-023574-0009,¡Gracias por el bot de ayuda!,Thanks for the help bot!,None
METALW-023574-0010,De nada.,You are welcome.,None
METALW-023575-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-023575-0001,"Hola, necesito ayuda.","Hi, I need help.",None
METALW-023575-0002,seguro. ¿Qué puedo hacer por ti?,sure. What can I do for you?,None
METALW-023575-0003,¿Cómo puedo configurar 1 cuenta en un sitio web de redes sociales?,How do I set up 1 account on a social networking website?,None
METALW-023575-0004,"Vaya al sitio web de redes sociales de su deseo. Una vez allí, haga clic en ""crear cuenta"".","Go to the social networking website of your desire. Once there, click ""Create Account"".",None
METALW-023575-0005,"Ok, ¿y luego qué?","Okay, and then what?",None
METALW-023575-0006,"Una vez que se abra la página siguiente, escriba su información personal y, a continuación, haga clic en ""crear perfil"".","Once the next page opens, enter your personal information, and then click ""Create Profile"".",None
METALW-023575-0007,"Oh, está bien, genial.","Oh, it's okay, great.",None
METALW-023575-0008,"Usted tendrá que verificar su correo electrónico, así que asegúrese de seguir las instrucciones","You'll need to verify your email, so be sure to follow the instructions",None
METALW-023575-0009,"Ok, voy a recibir un correo electrónico y luego necesito confirmar la cuenta?","Okay, I'm going to get an email and then I need to confirm the account?",None
METALW-023575-0010,"correcto. Una vez que confirmes tu cuenta, puedes seguir actualizando tu perfil. Algunas sugerencias:","correct. Once you confirm your account, you can continue to update your profile. Some suggestions:",None
METALW-023575-0011,Oh ok genial.,Oh ok great.,None
METALW-023575-0012,"Pon una foto de perfil, que puede ser de ti, tu familia, tu perro, tu puesta de sol favorita, o lo que quieras...","Put a profile picture, which can be from you, your family, your dog, your favorite sunset, or whatever you want...",None
METALW-023575-0013,Definitivamente puedo hacer eso.,I can definitely do that.,None
METALW-023575-0014,"¡Bien! Además, querrá buscar familiares y amigos y solicitar ""amigos""","Not bad! Plus, you'll want to find family and friends and request ""friends""",None
METALW-023575-0015,"Ok cool, he oído a la gente decir ""amigo de ellos"" así que ahora sé de lo que están hablando.","Okay cool, I've heard people say ""friend of them"" so now I know what they're talking about.",None
METALW-023575-0016,"Sí, eso es exactamente lo que eso significa","Yes, that's exactly what that means.",None
METALW-023575-0017,Gracias por su bot de ayuda.,Thanks for your help bot.,None
METALW-023575-0018,"Una vez que ganes amigos, podrás ver sus perfiles, responder a sus publicaciones y mucho más","Once you win friends, you'll be able to see their profiles, respond to their posts and more",None
METALW-023575-0019,Genial estoy en camino a ser cool ahora. ¡Gracias!,Great I'm on my way to being cool now. Thank you!,None
METALW-023575-0020,¡Eres bienvenido y bienvenido al mundo de las redes sociales!,You are welcome and welcome to the world of social media!,None
METALW-023576-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-023576-0001,¿Cómo cocinar tortilla?,How to cook omelette?,None
METALW-023576-0002,hay una tortilla receipies en Google,there's an omelette receipies on Google,None
METALW-023576-0003,Quiero que me digas paso a paso.,I want you to tell me step by step.,None
METALW-023576-0004,"BATIR los huevos, el agua, la sal y la pimienta en un tazón pequeño hasta que se mezclen.","BEAT eggs, water, salt and pepper in a small bowl until combined.",None
METALW-023576-0005,Okaay,Okaay,None
METALW-023576-0006,Caliente la mantequilla en una sartén antiadherente de 7 a 10 pulgadas o sartén a fuego medio-alto hasta que esté caliente. Bandeja inclinada para recubrir la parte inferior. VIERTA LA mezcla de huevo. La mezcla debe ajustarse inmediatamente en los bordes.,Heat the butter in a nonstick frying pan for 7 to 10 inches or pan over medium-high heat until hot. Sloping tray to coat the bottom. POUR THE egg mixture. The mixture should be adjusted immediately at the edges.,None
METALW-023576-0007,entonces.,then.,None
METALW-023576-0008,"EMPUJE SUAVEMENTE las porciones cocidas desde los bordes hacia el centro con torneado invertido para que los huevos sin cocinar puedan llegar a la superficie de la sartén caliente. CONTINÚE cocinando, inclinando la sartén y moviendo suavemente las porciones cocidas según sea necesario.","PUSH gently cooked portions from the edges to the center with inverted turning so that uncooked eggs can reach the surface of the hot pan. CONTINUE cooking, tilting the pan and gently moving the cooked portions as needed.",None
METALW-023576-0009,Bien. después.,Not bad. after.,None
METALW-023576-0010,"Cuando la superficie superior de los huevos se espesa y no queda ningún huevo líquido visible, COLOQUE el relleno en un lado de la tortilla. Doble la tortilla por la mitad con turner. Con un giro rápido de la muñeca, gire la sartén y invierta o deslice la tortilla en la placa. SIRVA inmediatamente.","When the top surface of the eggs thickens and no liquid egg is visible, PLACE the filling on one side of the tortilla. Fold the tortilla in half with turner. With a quick twist of the wrist, rotate the pan and reverse or slide the tortilla into the plate. SERVE immediately.",None
METALW-023576-0011,Es fácil.,It's easy.,None
METALW-023576-0012,bastante fácil,pretty easy,None
METALW-023576-0013,Ahora lo sé.,Now I know.,None
METALW-023576-0014,Bien,Not bad,None
METALW-023576-0015,gracias.,Thank you.,None
METALW-023576-0016,su esperanza de bienvenida que disfrute de su comida,your hope of welcome you enjoy your meal,None
METALW-023576-0017,"Sí, lo hiciste muy bien","Yes, you did very well.",None
METALW-023576-0018,Gracias,Thank you,None
METALW-023576-0019,Me encanta.,I love it.,None
METALW-023576-0020,Buenos días,Good morning,None
METALW-023577-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-023577-0001,Necesito ayuda.,I need help.,None
METALW-023577-0002,seguro. ¿Qué es eso?,sure. What is that?,None
