UID,SEG,translation,profanity
METALW-032399-0002,"Sí, esa sería la Casa Bonita en Denver Colorado","Yes, that would be the Casa Bonita in Denver Colorado",None
METALW-032399-0003,¡impresionante! ¿Qué tal el más alto del mundo?,impressive! How about the tallest in the world?,None
METALW-032399-0004,Eso es Angel Falls,That's Angel Falls.,None
METALW-032399-0005,¿Dónde está Angel Falls?,Where's Angel Falls?,None
METALW-032399-0006,Eso es en Venezuela,That's in Venezuela,None
METALW-032399-0007,Muy bien.,Very well.,None
METALW-032399-0008,A Cartman le gusta la Casa Bonita en Denver Colorado,Cartman likes the Casa Bonita in Denver Colorado,None
METALW-032399-0009,Siento que he oído eso antes. Gracias por su bot de ayuda!,I feel like I've heard that before. Thank you for your help bot!,None
METALW-032399-0010,Eres muy bienvenido,You're very welcome.,None
METALW-032400-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-032400-0001,Necesito algunos hechos récord mundiales,I need some world record facts,None
METALW-032400-0002,"Sí, puedo ayudar con los récords mundiales","Yes, I can help with world records",None
METALW-032400-0003,¿Dónde está la cascada interior más alta situada,Where is the highest indoor waterfall located,None
METALW-032400-0004,que se encuentra en Singapur,found in Singapore,None
METALW-032400-0005,¡Bien! Qué alto es,Not bad! How high it is,None
METALW-032400-0006,Me alegro de que estés contento con la respuesta es de 100 pies de altura,I'm glad you're happy with the answer is 100 feet high,None
METALW-032400-0007,¡gracias! ¿Dónde está la cascada al aire libre más alta,Thank you! Where's the highest outdoor waterfall,None
METALW-032400-0008,que se encuentra en Bélgica,found in Belgium,None
METALW-032400-0009,Bien. ¡gracias!,Not bad. Thank you!,None
METALW-032400-0010,Seguro que sí,I'm sure it is.,None
METALW-032400-0011,Eso será todo,That'll be it.,None
METALW-032401-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-032401-0001,Tengo una pregunta sobre un récord mundial,I have a question about a world record,None
METALW-032401-0002,"Claro, ¿qué te gustaría que buscara?","Sure, what would you like me to look for?",None
METALW-032401-0003,¿Cuál fue el sonido más fuerte jamás grabado?,What was the loudest sound ever recorded?,None
METALW-032401-0004,El sonido más fuerte jamás grabado fue una explosión nuclear.,The loudest sound ever recorded was a nuclear explosion.,None
METALW-032401-0005,¿Dónde estaba?,Where was he?,None
METALW-032401-0006,Fue grabado en los Estados Unidos.,It was recorded in the United States.,None
