UID,SEG,translation,profanity
METALW-029751-0007,"Genial, ¿cómo puedes ayudarme a detenerlo?","Great, how can you help me stop him?",None
METALW-029751-0008,Entra en la configuración y desactiva la función de creación automática de coincidencias. Eso ayudará.,Enter the settings and turn off the automatic matching feature. That'll help.,None
METALW-029751-0009,"Ok, yo hice eso. Muchas gracias por su ayuda.","Okay, I did that. Thank you very much for your help.",None
METALW-029751-0010,Me alegro de haber ayudado.,I'm glad I helped.,None
METALW-029752-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-029752-0001,Necesito ayuda con una posible estafa,I need help with a possible scam.,None
METALW-029752-0002,"Claro, ¿qué está pasando?","Sure, what's going on?",None
METALW-029752-0003,Estoy recibiendo llamadas de un número extraño,I'm getting calls from a strange number.,None
METALW-029752-0004,¿Has respondido a alguna de estas llamadas?,Have you answered any of these calls?,None
METALW-029752-0005,No,No,None
METALW-029752-0006,¿Y dejan mensajes de voz?,And they leave voicemails?,None
METALW-029752-0007,no tan lejos,not so far,None
METALW-029752-0008,¿Podría decirme el número de teléfono?,Could you tell me the phone number?,None
METALW-029752-0009,555-7225,555-7225,None
METALW-029752-0010,"Ah, sí. Este es un estafador conocido. Le aconsejo que bloquee este número y nunca responda.","Ah, yes. This is a well-known con man. I advise you to block this number and never respond.",None
METALW-029753-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-029753-0001,¡hola! Necesito ayuda con algo.,Hello! I need help with something.,None
METALW-029753-0002,seguro,sure,None
METALW-029753-0003,Alguien me envió un enlace desde un número desconocido. ¿Debería abrirlo?,Someone sent me a link from an unknown number. Should I open it?,None
METALW-029753-0004,No. puede ser un malware,No. it can be malware,None
METALW-029753-0005,Bien. ¿Qué debo hacer?,Not bad. What should I do?,None
METALW-029753-0006,eliminarlo,Remove,None
METALW-029753-0007,Bien. ¿Puedo presentar un informe para este incidente?,Not bad. Can I file a report for this incident?,None
METALW-029753-0008,"Sí, puede","Yes, you can",None
METALW-029753-0009,¡Muchas gracias!,Thanks a lot!,None
METALW-029753-0010,Que tengas un buen día,Have a nice day,None
METALW-029754-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-029754-0001,"Oye, he oído que tú eres el que informa sobre estafas","Hey, I hear you're the one reporting scams.",None
METALW-029754-0002,¡Soy yo! ¿Qué puedo hacer?,This is me! What can I do?,None
METALW-029754-0003,"Sigo recibiendo llamadas de un número de teléfono, 555-7225","I keep getting calls from a phone number, 555-7225",None
METALW-029754-0004,Déjame comprobar ese número,Let me check that number.,None
METALW-029754-0005,"Ok, esperaré","Okay, I'll wait.",None
METALW-029754-0006,El número que ha dado ha venido de un estafador,The number you gave came from a con man,None
METALW-029754-0007,Pensé que sí.,I thought so.,None
METALW-029754-0008,"Por favor, agregue este número a su lista de llamadas bloqueadas",Please add this number to your blocked call list,None
METALW-029754-0009,Cualquier otra cosa que deba hacer,Anything else I have to do,None
METALW-029754-0010,que debe ocuparse de ello,who has to take care of it,None
METALW-029755-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-029755-0001,¿Puede ayudarme con posibles llamadas telefónicas fraudulentas?,Can you help me with possible fraudulent phone calls?,None
METALW-029755-0002,No entretenga números fácilmente desconocidos,Don't entertain easily unknown numbers,None
METALW-029755-0003,Pero dicen que son de soporte técnico de Microsoft.,But they say they're Microsoft support.,None
METALW-029755-0004,Esas personas que llaman en su teléfono son estafadores,Those people who call on your phone are scammers,None
METALW-029755-0005,¿Cómo lo sabes?,How do you know?,None
METALW-029755-0006,Proporcione sus números por favor,Please provide your numbers,None
METALW-029755-0007,789-9090.,789-9090.,None
METALW-029755-0008,"Exactamente, tengo razón. Entonces los números dados es una estafa","Exactly, I'm right. So the numbers given is a scam",None
METALW-029755-0009,Gracias.,Thank you.,None
METALW-029755-0010,De nada,You are welcome,None
METALW-029756-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-029756-0001,¿Me puedes ayudar?,Can you help me?,None
METALW-029756-0002,"Sí, ¿en qué puedo ayudarte hoy?","Yes, how can I help you today?",None
