UID,SEG,translation,profanity
METALW-016753-0007,¡gracias!,Thank you!,None
METALW-016753-0008,Con gusto,My pleasure,None
METALW-016753-0009,Ten un buen día,Have a good day,None
METALW-016753-0010,Buenos días,Good morning,None
METALW-016754-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-016754-0001,Ayúdame con las reglas del juego,Help me with the rules of the game,None
METALW-016754-0002,ok para qué juego?,ok for what game?,None
METALW-016754-0003,monopolio,monopoly,None
METALW-016754-0004,Conozco ese juego,I know that game.,None
METALW-016754-0005,¿Se supone que recibiré $200 cuando aterrice en estacionamiento gratuito?,Am I supposed to get $200 when I land in free parking?,None
METALW-016754-0006,"Sí, te pagan esa cantidad del banquero","Yes, you get paid that amount from the banker.",None
METALW-016754-0007,¿Y todos los demás?,What about everyone else?,None
METALW-016754-0008,sólo lo consigues desde que aterrizaste allí,you only get it since you landed there,None
METALW-016754-0009,"¡Oh, gracias!","Oh, thanks!",None
METALW-016754-0010,No hay problema,No problem,None
METALW-016755-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-016755-0001,Tengo una pregunta,I have a question,None
METALW-016755-0002,seguro. Pregunta lejos.,sure. Ask far away.,None
METALW-016755-0003,¿Se supone que debo conseguir $200 cada vez que estaciono en el monopolio?,Am I supposed to get $200 every time I park in the monopoly?,None
METALW-016755-0004,Sí. ¡Deberías hacerlo!,Yes. You should do it!,None
METALW-016755-0005,¿Por qué?,Why?,None
METALW-016755-0006,¡Está en las reglas!,It's in the rules!,None
METALW-016755-0007,Bien. gracias,Not bad. Thank you,None
METALW-016755-0008,¿Algo más?,Anything else?,None
METALW-016755-0009,No,No,None
METALW-016755-0010,Bien.,Not bad.,None
METALW-016756-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-016756-0001,Tengo una pregunta sobre un juego,I have a question about a game,None
METALW-016756-0002,Puedo ayudar con eso. ¿Qué juego?,I can help with that. What game?,None
METALW-016756-0003,Monoply,Monoply,None
METALW-016756-0004,¿Monoply? ¿Te refieres a Monopoly?,Monoply? You mean Monopoly?,None
METALW-016756-0005,¿Quién va primero? Sí Monopoly,Who goes first? Yes Monopoly,None
METALW-016756-0006,El banquero va primero.,The banker goes first.,None
METALW-016756-0007,¿por qué?,Why?,None
METALW-016756-0008,Porque esa persona tiene el control del dinero. Van primero para poder cumplir con sus obligaciones bancarias.,Because that person is in control of money. They go first to be able to meet their banking obligations.,None
METALW-016756-0009,eso no tiene sentido,that doesn't make sense,None
METALW-016756-0010,"Yo no hice las reglas. Sin embargo, es cierto.","I didn't make the rules. However, it is true.",None
METALW-016757-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-016757-0001,¿Puedes buscarme algo?,Can you get me something?,None
METALW-016757-0002,¡Claro que puedo! ¿Qué te gustaría que buscara?,Of course I can! What would you like me to look for?,None
METALW-016757-0003,Necesito algunas reglas de un juego.,I need some rules from a game.,None
METALW-016757-0004,Bien. ¿Qué juego?,Not bad. What game?,None
METALW-016757-0005,¿Puedes ayudar con Monopoly?,Can you help with Monopoly?,None
