UID,SEG,translation,profanity
METALW-017647-0009,Gracias,Thank you,None
METALW-017647-0010,¡Que tengas un gran día!,Have a great day!,None
METALW-017648-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017648-0001,Tengo una pregunta sobre jugar un juego,I have a question about playing a game,None
METALW-017648-0002,¿Qué juego?,What game?,None
METALW-017648-0003,¿Cómo juegas al catch?,How do you play catch?,None
METALW-017648-0004,"En Catch, dos o más personas pusieron un objeto.","In Catch, two or more people put an object.",None
METALW-017648-0005,¿Muchos padres e hijos juegan ese juego?,Do many parents and children play that game?,None
METALW-017648-0006,"Sí, y el objeto suele ser una bola.","Yes, and the object is usually a ball.",None
METALW-017648-0007,"¡De acuerdo, gracias!","All right, thank you!",None
METALW-017648-0008,Este juego continúa durante una cantidad indeterminada de tiempo. ¿Puedo responder a otras preguntas del juego?,This game continues for an undetermined amount of time. Can I answer other questions in the game?,None
METALW-017648-0009,no,No,None
METALW-017648-0010,Que tengas un buen día.,Have a nice day.,None
METALW-017649-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017649-0001,Tengo una pregunta,I have a question,None
METALW-017649-0002,¿Qué es?,What is it?,None
METALW-017649-0003,¿Se supone que debo obtener $300 cada vez que aterrizo en estacionamiento gratuito en monopoluy?,Am I supposed to get $300 every time I land in free parking in monopoluy?,None
METALW-017649-0004,"No, sólo obtienes $299.","No, you only get $299.",None
METALW-017649-0005,ooh bien,ooh well,None
METALW-017649-0006,¿Necesitas saber algo más?,Do you need to know anything else?,None
METALW-017649-0007,th nope im bueno,th nope im bueno,None
METALW-017649-0008,"Muy bien, entonces, me alegro de poder ayudar.","All right, then, I'm glad I can help.",None
METALW-017649-0009,gracias de nuevo :) eres de gran ayuda,thanks again :) you're a big help,None
METALW-017649-0010,Me alegro de servir. Que tengas un buen día.,I'm glad to serve. Have a nice day.,None
METALW-017650-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017650-0001,¿Cómo saber quién ha ganado un juego de etiquetas?,How do I know who won a tag game?,None
METALW-017650-0002,Por lo general depende de los jugadores,It usually depends on the players,None
METALW-017650-0003,¿Cómo funciona?,How does it work?,None
METALW-017650-0004,Tienes que perseguir a otros jugadores,You have to chase other players,None
METALW-017650-0005,"Bien, ya veo, gracias","Well, I see, thank you",None
METALW-017650-0006,bienvenido,welcome,None
METALW-017650-0007,tener un nie uno,have a nie one,None
METALW-017650-0008,¿Algo más?,Anything else?,None
METALW-017650-0009,agradable * eso es todo,nice * that's it,None
METALW-017650-0010,Bien,Not bad,None
METALW-017651-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017651-0001,eh,hey,None
METALW-017651-0002,¿Qué te gustaría saber?,What would you like to know?,None
METALW-017651-0003,¿Puedo preguntar algo?,Can I ask you something?,None
METALW-017651-0004,¿Qué es lo que quieres saber?,What do you want to know?,None
METALW-017651-0005,¿Qué botón presiono para saltar en Super Mario 64?,What button do I press to jump in Super Mario 64?,None
METALW-017651-0006,"No puedo ayudarte con eso, sólo puedo ayudarte con las reglas, ¿puedo sugerirte que uses el bot de control del juego?","I can't help you with that, I can only help you with the rules, can I suggest you use the game control bot?",None
METALW-017651-0007,¿Cómo no puedes evitarlo?,How can you not help it?,None
METALW-017651-0008,"Sólo estoy diseñado para ayudar con las reglas, no puedo ayudar con los controles, ¿puedo sugerirle que utilice el bot de control de juego?","I'm just designed to help with the rules, I can't help with the controls, can I suggest you use the game control bot?",None
METALW-017651-0009,"bien, eso tiene sentido","well, that makes sense",None
METALW-017651-0010,¿Hay algo más con lo que pueda ayudarte hoy?,Is there anything else I can help you with today?,None
METALW-017652-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017652-0001,Necesito que se aclaren las reglas de un juego.,I need the rules of a game clarified.,None
METALW-017652-0002,¿Qué juego y qué reglas necesitas aclarar?,What game and rules do you need to clarify?,None
METALW-017652-0003,"En el juego de etiquetas, ¿cómo elijo a la primera persona en ser ""él""?","In the tag game, how do I choose the first person to be ""he""?",None
METALW-017652-0004,"La primera persona que pregunta quién es, es 'es'.",The first person who asks who he is is 'is'.,None
METALW-017652-0005,"Ok, ¿qué pasa si nadie pregunta?","Okay, what if no one asks?",None
METALW-017652-0006,"Los jugadores pueden decidir entre ellos quién quiere ser 'it', o pueden elegir tocando rock-paper-scissors.","Players can decide among themselves who wants to be 'it', or they can choose by playing rock-paper-scissors.",None
METALW-017652-0007,"Ok, eso suena justo.","Okay, that sounds fair.",None
METALW-017652-0008,¿Hay algo más con lo que necesites ayuda?,Is there anything else you need help with?,None
METALW-017652-0009,¿Hay un ganador o un perdedor en el juego de etiquetas?,Is there a winner or loser in the tag game?,None
METALW-017652-0010,No.,No.,None
METALW-017653-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017653-0001,Quiero saber sobre un juego,I want to know about a game,None
METALW-017653-0002,"seguro. Por favor, especifique.",sure. Please specify.,None
METALW-017653-0003,cómo jugar juego de captura,how to play capture game,None
METALW-017653-0004,Comprobación de recursos.,Resource check.,None
METALW-017653-0005,De acuerdo,I agree,None
METALW-017653-0006,Jugar el juego de captura es fácil. Sólo necesitas otra persona y una pelota. Y listo para irte.,Playing the capture game is easy. All you need is someone else and a ball. And ready to go.,None
METALW-017653-0007,Bien,Not bad,None
METALW-017653-0008,¿Eso es todo?,That's all?,None
METALW-017653-0009,Gracias.,Thank you.,None
METALW-017653-0010,contento de ser de servicio.,glad to be of service.,None
METALW-017654-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017654-0001,Hola,Hello,None
METALW-017654-0002,"Hola, ¿en qué puedo ayudarle hoy?","Hi, how can I help you today?",None
METALW-017654-0003,Quiero una aclaración de algunas reglas,I want clarification of some rules,None
METALW-017654-0004,"Claro, ¿qué te gustaría aclarar?","Sure, what would you like to clarify?",None
METALW-017654-0005,"¿Cómo elegir a la primera persona para ser el ""it"" en el juego de etiqueta?","How to choose the first person to be the ""it"" in the tag game?",None
METALW-017654-0006,"La primera persona en preguntar quién es ""él"" en la etiqueta es la persona que es ""él"". ¿Tienes alguna otra pregunta?","The first person to ask who ""he"" is on the label is the person who is ""he"". Do you have any other questions?",None
METALW-017654-0007,Nada más,Nothing else,None
METALW-017654-0008,"Genial, si tienes otras preguntas no tengas miedo de hacer.","Great, if you have other questions don't be afraid to ask.",None
METALW-017654-0009,Muchas gracias,Thanks a lot,None
METALW-017654-0010,Gracias por usar nuestro servicio.,Thank you for using our service.,None
METALW-017655-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017655-0001,Hola me gustaría hacer una pregunta sobre un juego.,Hi I'd like to ask a question about a game.,None
METALW-017655-0002,ok para qué juego?,ok for what game?,None
METALW-017655-0003,monopolio.,monopoly.,None
METALW-017655-0004,¿Qué puedo ayudar con el monopolio?,What can I help with monopoly?,None
METALW-017655-0005,Me preguntaba ¿quién va primero en el juego?,I was wondering who's going to the game first?,None
METALW-017655-0006,la persona que está más cerca del juego de mesa va primero,the person closest to the board game goes first,None
METALW-017655-0007,"Espera, creo que eso está mal. Estoy bastante seguro de que sus datos están equivocados.","Wait, I think that's wrong. I'm pretty sure your data is wrong.",None
METALW-017655-0008,no se indica en el libro de reglas,not indicated in the rule book,None
METALW-017655-0009,Estoy bastante seguro de que la persona que va primero es la persona que es la mayor.,I'm pretty sure the person who goes first is the person who's the biggest.,None
METALW-017655-0010,Me temo que te equivocas,I'm afraid you're wrong.,None
METALW-017656-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-017656-0001,hola,Hello,None
METALW-017656-0002,"Hola, ¿qué puedo hacer por ti?","Hey, what can I do for you?",None
METALW-017656-0003,Tengo un questin,I have a questin,None
METALW-017656-0004,¿Qué es?,What is it?,None
METALW-017656-0005,¿Cómo imaginar el primero en serlo en un juego de etiquetas? coger,How to imagine the first to be in a tag game? catch,None
METALW-017656-0006,"La primera persona que pregunta quién es, es.",The first person to ask who he is is.,None
METALW-017656-0007,Dime,Tell me,None
METALW-017656-0008,¿Decirte qué? No estoy seguro de entender tu pregunta.,Tell you what? I'm not sure I understand your question.,None
METALW-017656-0009,¿Cómo elegir el primero en serlo en un juego de etiquetas? esta es mi pregunta,How to choose the first to be in a tag set? this is my question,None
