UID,SEG,translation,profanity
METALW-002665-0006,eres bienvenido ¿Eso es todo?,"You're welcome, is that all?",None
METALW-002665-0007,Eso era todo lo que necesitaba,That's all I needed.,None
METALW-002665-0008,Bien. Ten un buen día.,Not bad. Have a good day.,None
METALW-002665-0009,Que tengas un gran día,Have a great day,None
METALW-002665-0010,u2,u2,None
METALW-002666-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-002666-0001,"Me gustaría obtener información sobre las zonas horarias, por favor","I'd like to get information about time zones, please",None
METALW-002666-0002,Puedo ayudar con las zonas horarias. ¿De qué necesita información?,I can help with time zones. What do you need information about?,None
METALW-002666-0003,Me gustaría saber la diferencia en las zonas horarias de Hawái a California ¿Cuántas horas y cuáles son sus zonas horarias?,I would like to know the difference in time zones from Hawaii to California How many hours and what are your time zones?,None
METALW-002666-0004,No hay diferencia de que ambos estén en pacific standard time. Espero que esto ayude.,There's no difference that they're both in pacific standard time. I hope this helps.,None
METALW-002666-0005,Está bien. ¿Y puedes llamarme la hora en Hawái ahora mismo?,It is ok. And can you call me the time in Hawaii right now?,None
METALW-002666-0006,La hora actual en Hawái es 7:21,The current time in Hawaii is 7:21,None
METALW-002666-0007,Gracias por su bot de ayuda!,Thank you for your help bot!,None
METALW-002666-0008,No hay problema. ¿Necesita ayuda con cualquier otra pregunta relacionada con la zona horaria?,No problem. Need help with any other time zone-related questions?,None
METALW-002666-0009,"¡No, eso es todo, gracias de nuevo!","No, that's it, thanks again!",None
METALW-002666-0010,¡Que tengas un gran día!,Have a great day!,None
METALW-002667-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-002667-0001,¿Cómo funcionan exactamente las zonas horarias?,How exactly do time zones work?,None
METALW-002667-0002,me golpea. Sólo los busco.,hits me. I'm just looking for them.,None
METALW-002667-0003,Bien. ¿Puedes decirme cómo tienen las zonas horarias manu que tiene Ee.UU.? *muchos,Not bad. Can you tell me how U.S. manu time zones have? *many,None
METALW-002667-0004,Seis,six,None
METALW-002667-0005,Bien. Cuánta diferencia de tiempo entre CA y NY,Not bad. How much time difference between CA and NY,None
METALW-002667-0006,cuatro horas,four hours,None
METALW-002667-0007,Bien. Así que si llamo a NY desde CA a las 6pm PT entonces son las 10pm ET?,Not bad. So if I call NY from CA at 6pm PT then it's 10pm ET?,None
METALW-002667-0008,Sí,Yes,None
METALW-002667-0009,gracias,Thank you,None
METALW-002667-0010,Np,Np,None
METALW-002668-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-002668-0001,"Hola, tengo una pregunta sobre las zonas horarias.","Hello, I have a question about time zones.",None
METALW-002668-0002,ok puedo ayudar con las zonas horarias,ok I can help with time zones,None
METALW-002668-0003,¿Cuántas horas por delante está Nueva York de Winnipeg?,How many hours ahead is Winnipeg's New York?,None
METALW-002668-0004,Nueva York está 3 horas por delante,New York is 3 hours ahead,None
METALW-002668-0005,¿Qué tan lejos está Nueva York de Vancouver?,How far is New York from Vancouver?,None
METALW-002668-0006,Nueva York está 6 horas por delante de Vancouver,New York is 6 hours ahead of Vancouver,None
METALW-002668-0007,Ok muchas gracias.,"Okay, thank you very much.",None
METALW-002668-0008,¿alguna otra pregunta?,Any other questions?,None
