UID,SEG,translation,profanity
METALW-012328-0003,¿Sabes si Cabaret y Phantom of the Opera tienen los mismos espectáculos hoy en día?,Do you know if Cabaret and Phantom of the Opera have the same shows these days?,None
METALW-012328-0004,"Sí, están jugando al mismo tiempo.","Yes, they're playing at the same time.",None
METALW-012328-0005,"Bien, ¿a qué hora jugarán?","Well, what time are you going to play?",None
METALW-012328-0006,Ambas jugadas son a las 6 p. m.,Both plays are at 6 p.m.,None
METALW-012328-0007,¿Les quedan asientos?,Do you have any seats left?,None
METALW-012328-0008,"Mañana, Cabaret tocará a las 6 p. m. y Phantom of the Opera comenzará a medianoche. ¿Qué obra te gustaría ver?","Tomorrow, Cabaret will play at 6 p.m and Phantom of the Opera will begin at midnight. What play would you like to see?",None
METALW-012328-0009,Carbaret. Pero compraré boletos en la cabina. Gracias por su información.,Carbaret. But I'll buy tickets in the booth. Thank you for your information.,None
METALW-012328-0010,De nada.,You are welcome.,None
METALW-012329-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-012329-0001,Quiero saber algo,I want to know something.,None
METALW-012329-0002,Adelante,Go ahead,None
METALW-012329-0003,¿cuándo está jugando la obra?,When's the play playing?,None
METALW-012329-0004,"cóctel, fiesta de cumpleaños, cena, lectura de mesa de la fiesta, fiesta de Abigail: ¿cuál?","cocktail, birthday party, dinner, party table reading, Abigail party: which one?",None
METALW-012329-0005,fiesta en la piscina\,pool party,None
METALW-012329-0006,no tenemos fiesta en la piscina,we don't have a pool party,None
METALW-012329-0007,¿realmente?,really?,None
METALW-012329-0008,Sí,Yes,None
METALW-012329-0009,Oh bien gracias,Oh well thank you,None
METALW-012329-0010,No hay problema,No problem,None
METALW-012330-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-012330-0001,¿Puedes conseguirme información de showtiime?,Can you get me showtiime information?,None
METALW-012330-0002,"Sí, puedo.","Yes, I can.",None
METALW-012330-0003,Quiero ver Cabaret y también El Fantasma de la Ópera. ¿Están jugando en los mismos momentos o en diferentes momentos?,I want to see Cabaret and also The Phantom of the Opera. Are they playing at the same times or at different times?,None
