UID,SEG,translation,profanity
METALW-005247-0002,ok tengo tus contactos recogidos,ok I have your contacts picked up,None
METALW-005247-0003,roble grande,big oak,None
METALW-005247-0004,¿Qué quieres hacer con él?,What do you want to do with him?,None
METALW-005247-0005,ordenarlos,Sort,None
METALW-005247-0006,en qué orden?,in what order?,None
METALW-005247-0007,orden mixto,mixed order,None
METALW-005247-0008,ok estoy mezclando al azar,ok I'm mixing randomly,None
METALW-005247-0009,gracias,Thank you,None
METALW-005247-0010,No hay problema,No problem,None
METALW-005248-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005248-0001,Necesito ayuda para editar mis contactos,I need help editing my contacts,None
METALW-005248-0002,seguro. ¿Cómo se llama el contacto?,sure. What's the name of the contact?,None
METALW-005248-0003,Spencer,Spencer,None
METALW-005248-0004,¿Qué te gustaría editar?,What would you like to edit?,None
METALW-005248-0005,¿Puede cambiar el nombre a Spence en su lugar,Can you change the name to Spence instead,None
METALW-005248-0006,No hay problema. El contacto ahora se llama Spence.,No problem. The contact is now called Spence.,None
METALW-005248-0007,Gracias por la ayuda,Thanks for the help,None
METALW-005248-0008,¿Hay algo más con lo que pueda ayudarte?,Is there anything else I can help you with?,None
METALW-005248-0009,"Eso es todo, gracias bot","That's it, thanks bot",None
METALW-005248-0010,De nada,You are welcome,None
METALW-005249-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005249-0001,¡hola!,Hello!,None
METALW-005249-0002,¿cómo puedo ayudar,how can I help,None
METALW-005249-0003,"Sí, ¿puedes ayudarme en mis contactos?","Yes, can you help me with my contacts?",None
METALW-005249-0004,"Sí, ¿cómo puedo ayudar","Yes, how can I help",None
METALW-005249-0005,Quiero ayudarte a cambiar un nombre. Me refiero a ti.,I want to help you change a name. I mean you.,None
METALW-005249-0006,qué nombre necesita cambiar,what name needs to change,None
METALW-005249-0007,Guar a Mae.,Guar a Mae.,None
METALW-005249-0008,"que el cambio ha sido, cualquier otra cosa que pueda hacer","that change has been, anything else I can do",None
METALW-005249-0009,"Oh, eso es bueno por ahora.","Oh, that's good for now.",None
METALW-005249-0010,Buenos días,Good morning,None
METALW-005250-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005250-0001,Hola necesito añadir un contacto,Hello I need to add a contact,None
METALW-005250-0002,"Claro, ¿cuál es el nombre del contacto?","Sure, what's the name of the contact?",None
METALW-005250-0003,"En realidad, necesito editar un contacto, ¿está bien?","Actually, I need to edit a contact, okay?",None
METALW-005250-0004,"Claro, ¿qué contacto te gustaría editar?","Of course, which contact would you like to edit?",None
METALW-005250-0005,"Necesito agregar una dirección de correo electrónico, ¿puedes hacer eso?","I need to add an email address, can you do that?",None
METALW-005250-0006,"Claro, ¿a qué contacto le gustaría agregar una dirección de correo electrónico?","Of course, which contact would you like to add an email address to?",None
METALW-005250-0007,¿Puede agregar una dirección de correo electrónico a Bob Smith por favor.,Can you add an email address to Bob Smith please.,None
METALW-005250-0008,Bob Smith ya tiene una dirección de correo electrónico - bsmith@gmail.com,Bob Smith already has an email address - bsmith@gmail.com,None
METALW-005250-0009,"Oh, cierto. Bueno, esa es su vieja dirección, ¿puedes sobrescribirla con una nueva? Por favor, utilice bhsmith@gmail.com, si puede.","Oh, right. Well, that's her old address, can you overwrite it with a new one? Please use bhsmith@gmail.com, if you can.",None
METALW-005250-0010,"Sí, puedo reemplazar el correo electrónico de Bob Smith. ¿Cuál es la nueva dirección de correo electrónico?","Yes, I can replace Bob Smith's email. What is the new email address?",None
METALW-005250-0011,¡Gracias!,Thank you!,None
METALW-005250-0012,El correo electrónico de Bob Smith ha sido cambiado a bhsmith@gmail.com,Bob Smith's email has been changed to bhsmith@gmail.com,None
METALW-005251-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005251-0001,Necesito añadir un nuevo contacto,I need to add a new contact,None
METALW-005251-0002,Puedo ayudarte con eso. ¿Qué nombre?,I can help you with that. What name?,None
METALW-005251-0003,Roß,Roo,None
METALW-005251-0004,¿Es un nombre de pila o un apellido?,Is it a first name or a last name?,None
METALW-005251-0005,Este es el primer nombre,This is the first name,None
METALW-005251-0006,¿Cuál es el apellido?,What's the last name?,None
METALW-005251-0007,No habrá apellido. El número de teléfono es 333-444-5555,There will be no last name. The phone number is 333-444-5555,None
METALW-005251-0008,"Ok, ¿te gustaría añadir un correo electrónico?","Okay, would you like to add an email?",None
METALW-005251-0009,"No, no en este momento Gracias","No, not right now Thank you",None
METALW-005251-0010,"Ok, se ha añadido el contacto.","Okay, the contact's been added.",None
METALW-005251-0011,Bien,Not bad,None
METALW-005252-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005252-0001,Quiero borrar un contacto,I want to delete a contact,None
METALW-005252-0002,"Ok, ¿qué contacto te gustaría reased?","Okay, what contact would you like reased?",None
METALW-005252-0003,Célula de Scott,Scott's cell,None
METALW-005252-0004,"Tengo la celda de Scott para ser borrado, ¿es correcto?","I have Scott's cell to be deleted, is that correct?",None
METALW-005252-0005,Sí,Yes,None
METALW-005252-0006,"¡Por favor, confirme que la celda de Scott para ser borrada no se puede deshacer!",Please confirm that Scott's cell to be deleted cannot be undone!,None
METALW-005252-0007,"Sí, quiero borrar la celda de Scott de mis contactos","Yes, I want to erase Scott's cell from my contacts",None
METALW-005252-0008,"¿Estás listo, algo más?","Are you ready, anything else?",None
METALW-005252-0009,"No, eso es todo, gracias","No, that's it, thank you",None
METALW-005252-0010,Que tengas una buena,Have a good one,None
METALW-005253-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005253-0001,Hola necesito ayuda con mi lista de contactos,Hello I need help with my contact list,None
METALW-005253-0002,Puedo ayudarte a gestionar tu lista de contactos. ¿Qué te gustaría hacer?,I can help you manage your contact list. What would you like to do?,None
METALW-005253-0003,Necesito eliminar a alguien,I need to eliminate someone.,None
METALW-005253-0004,¿Qué contacto desea eliminar?,Which contact do you want to delete?,None
METALW-005253-0005,Bob Jones,Bob Jones,None
METALW-005253-0006,"¿Está tratando de eliminar todo el contacto, o simplemente parte de la información?","Are you trying to delete all contact, or just some of the information?",None
METALW-005253-0007,Todo el contacto. todo,All contact. all,None
METALW-005253-0008,¿Estás seguro de que quieres eliminar todo el contacto llamado Bob Jones?,Are you sure you want to delete all contact called Bob Jones?,None
METALW-005253-0009,"Sí, estoy seguro.","Yes, I'm sure.",None
METALW-005253-0010,Bien. Cotact eliminado.,Not bad. Cotact removed.,None
METALW-005253-0011,gracias,Thank you,None
METALW-005254-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005254-0001,contactos abiertos,open contacts,None
METALW-005254-0002,"Claro, ¿qué contacto estás buscando?","Sure, what contact are you looking for?",None
METALW-005254-0003,encontrar la información de John,find John's information,None
METALW-005254-0004,El número de celda de John es 546-534-5435 y su correo electrónico es John@john.com.,John's cell number is 546-534-5435 and his email address is John@john.com.,None
METALW-005254-0005,cambiar el número al 565-555-5555,change the number to 565-555-5555,None
METALW-005254-0006,Muy bien. Eso se ha hecho. ¿Es necesario cambiar el correo electrónico también?,Very well. That's what's been done. Do I need to change the email as well?,None
METALW-005254-0007,No,No,None
METALW-005254-0008,De acuerdo. ¿Puedo ayudarte con algo más?,I agree. Can I help you with something else?,None
METALW-005254-0009,No,No,None
METALW-005254-0010,De acuerdo.,I agree.,None
METALW-005254-0011,Ty,Ty,None
METALW-005255-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-005255-0001,Necesito ayuda para borrar un contacto,I need help deleting a contact,None
METALW-005255-0002,¿Qué nombre de contacto?,What contact name?,None
METALW-005255-0003,Rachel Nichols,Rachel Nichols,None
METALW-005255-0004,Bien,Not bad,None
METALW-005255-0005,Elimínelo por favor,Please delete it,None
METALW-005255-0006,¿Borrando algo más?,Erasing something else?,None
METALW-005255-0007,¿También puede eliminar el contacto Kris Cambridge,Can you also remove the Kris Cambridge contact,None
METALW-005255-0008,Bien,Not bad,None
METALW-005255-0009,Gracias por la ayuda,Thanks for the help,None
METALW-005255-0010,¿Algo más?,Anything else?,None
METALW-005256-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
