UID,SEG,translation,profanity
METALW-022083-0004,"Muy bien, ¿sabes qué canciones te gustaría añadir a la lista de reproducción?","All right, you know what songs you'd like to add to the playlist?",None
METALW-022083-0005,"No, pero conozco el género","No, but I know the genre",None
METALW-022083-0006,¿Qué género es?,What gender is it?,None
METALW-022083-0007,Música gospel por favor,Gospel music please,None
METALW-022083-0008,"Gracias. Se han utilizado 45 minutos de música gospel para crear la lista de reproducción ""Workouts"". ¿Hay algo más que pueda hacer por ti?","Thank you. 45 minutes of gospel music have been used to create the ""Workouts"" playlist. Is there anything else I can do for you?",None
METALW-022083-0009,¡Eso es todo! gracias,That's all! Thank you,None
METALW-022083-0010,De nada.,You are welcome.,None
METALW-022084-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-022084-0001,"Sí, ¿podrías hacer algunos cambios en mis listas de reproducción?","Yes, could you make some changes to my playlists?",None
METALW-022084-0002,Puedo ayudar con eso. ¿Qué lista de reproducción te gustaría cambiar?,I can help with that. Which playlist would you like to change?,None
METALW-022084-0003,Canciones de tigre,Tiger songs,None
METALW-022084-0004,"He encontrado la lista de reproducción llamada ""Tiger Songs"". ¿Qué te gustaría cambiar?","I found the playlist called ""Tiger Songs"". What would you like to change?",None
METALW-022084-0005,¿Podrías eliminar canciones de Monkey?,Could you delete Monkey songs?,None
METALW-022084-0006,"¿Quieres que se eliminen todas las canciones de Monkey, o simplemente ciertas?","Do you want all Monkey songs deleted, or just certain?",None
METALW-022084-0007,"Todo, por favor.","Everything, please.",None
METALW-022084-0008,"Encontré 3 canciones de Monkey, y han sido eliminadas. ¿Qué otros cambios te gustaría?","I found three Monkey songs, and they've been deleted. What other changes would you like?",None
METALW-022084-0009,Eso es todo.,That's all.,None
METALW-022084-0010,Bien. Que tengas un buen día entonces.,Not bad. Have a nice day then.,None
METALW-022085-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-022085-0001,"¿Puedes ayudarme a administrar mis listas de reproducción, por favor?","Can you help me manage my playlists, please?",None
METALW-022085-0002,"Sí, puedo administrar listas de reproducción.","Yes, I can manage playlists.",None
METALW-022085-0003,"¿Puedes eliminar a todo el artista ""Bruce Springsteen"" de mi lista de reproducción llamada ""Australian Music""","Can you remove all artist ""Bruce Springsteen"" from my playlist called ""Australian Music""",None
METALW-022085-0004,¿Eso es canción o arte? artista.,Is that song or art? artist.,None
METALW-022085-0005,"Bueno, me refería al artista.","Well, I meant the artist.",None
METALW-022085-0006,"Eliminaré al artista ""Bruce Springsteen"" de tu lista de reproducción. ¿Es eso correcto?","I'll remove the artist ""Bruce Springsteen"" from your playlist. Is that correct?",None
