UID,SEG,translation,profanity
METALW-018532-0005,¿Por qué?,Why?,None
METALW-018532-0006,Sólo permiten fiestas de 10 porque se pone muy ocupado de lo contrario.,They only allow parties of 10 because it gets very busy otherwise.,None
METALW-018532-0007,¿Crees que podrías ayudarme a hacer una reserva para 16 en Tamashi ramen entonces?,Do you think you could help me make a reservation for 16 in Tamashi ramen then?,None
METALW-018532-0008,Puedo hacer eso por ti. ¿Qué fecha te gustaría?,I can do that for you. What date would you like?,None
METALW-018532-0009,Mañana a las 8 p. m.,Tomorrow at 8 p.m.,None
METALW-018532-0010,He guardado esa reserva para ti. ¿Puedo ayudarte con algo más?,I saved that reservation for you. Can I help you with something else?,None
METALW-018532-0011,"No, gracias.",No thanks.,None
METALW-018533-0000,bot de restaurante,restaurant bot,None
METALW-018533-0001,Necesito reservas para 16 en un restaurante de lujo esta noche.,I need reservations for 16 at a luxury restaurant tonight.,None
METALW-018533-0002,"Ok, ¿qué restaurante está interesado en comprobar","Okay, which restaurant is interested in checking",None
METALW-018533-0003,El asador de alta gama más cercano.,The nearest high-end grill.,None
METALW-018533-0004,La Z Z La es el asador de alta gama más cercano. ¿Debo comprobar La Z La,The Z Z La is the nearest high-end steakhouse. Should I check La Z La,None
METALW-018533-0005,"Sí, por favor","Yes, please",None
METALW-018533-0006,Siento que no haya mesas para 16 para esta noche si prueba otro asador mejor clasificado cerca de ti,I'm sorry there aren't tables for 16 for tonight if I try another top-ranked steakhouse near you.,None
METALW-018533-0007,"Sí, por favor","Yes, please",None
METALW-018533-0008,El steak tiene una mesa disponible para 16 personas. ¿Debería hacer esa reserva para ti?,The steak has a table available for 16 people. Should I make that reservation for you?,None
METALW-018533-0009,"Sí, a las 19:00 horas, por favor.","Yes, 7 p.m., please.",None
METALW-018533-0010,Se ha realizado una reserva para las 16 a las 7 pm. Disfrute de su noche,A reservation has been made for 16 at 7 pm. Enjoy your night,None
METALW-018534-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-018534-0001,"Hola, necesito ayudarme a hacer reservas de restaurantes","Hi, I need to help myself make restaurant reservations.",None
METALW-018534-0002,Puedo ayudarte con eso.,I can help you with that.,None
METALW-018534-0003,"Por favor, reservame una mesa 16 en el restaurante caro, ¿puedes?","Please book me a table 16 at the expensive restaurant, will you?",None
METALW-018534-0004,El restaurante solo puede reservar una mesa para un hasta 10 personas.,Please note that the restaurant can only book one table for up to 10 people.,None
METALW-018534-0005,"Oh, es malo ¿Qué hago?","Oh, it's bad, what do I do?",None
METALW-018534-0006,Conformarse con un restaurante más complaciente,Settling for a more accommodating restaurant,None
METALW-018534-0007,De acuerdo,I agree,None
