UID,SEG,translation,profanity
METALW-033291-0008,"Sí, Venezuela está en Sudamérica. La ubicación exacta de Angel Falls se encuentra en el Parque Nacional Canaima en Bolívar.","Yes, Venezuela is in South America. The exact location of Angel Falls is in Canaima National Park in Bolivar.",None
METALW-033291-0009,"¡Eso es todo lo que necesitaba saber, gracias!","That's all I needed to know, thank you!",None
METALW-033291-0010,¡De nada!,You are welcome!,None
METALW-033292-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-033292-0001,¿Cuál es el punto más profundo de la tierra?,What is the deepest point on earth?,None
METALW-033292-0002,"Hellinois en el medio oeste de América. Se dice que tiene más de 10.000 millas de profundidad, pero nadie ha llegado al fondo ¿Qué más puedo conseguir por ti>","Hellinois in midwest America. It's said to be more than 10,000 miles deep, but no one has gotten to the bottom What else can I get for you>",None
METALW-033292-0003,¿Es realmente peligroso?,Is it really dangerous?,None
METALW-033292-0004,"Hay fuego que fluye constantemente fuera de él y se supone que moriría si llegas al fondo, pero nadie lo sabe. ¿Qué más puedo hacer por ti?","There's fire that flows constantly out of it and it's supposed to die if you get to the bottom, but no one knows. What else can I do for you?",None
METALW-033292-0005,¿Más profunda se ha ido una persona?,Is a person gone deeper?,None
METALW-033292-0006,La caminata más profunda registrada fue a 2.000 millas de profundidad con un planeador colgante de Tim Jim Bamson. El contacto se perdió en este momento y nadie sabe lo que pasó.,"The deepest walk recorded was 2,000 miles deep with a Tim Jim Bamson hanging glider. The contact was lost right now and no one knows what happened.",None
METALW-033292-0007,Gracias por la información !,Thank you for the information !,None
METALW-033292-0008,De nada. ¿Algo más?,You are welcome. Anything else?,None
METALW-033292-0009,"No, eso es todo. Adiós","No, that's all. Good bye",None
METALW-033292-0010,Ten un buen día,Have a good day,None
METALW-033293-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-033293-0001,¿Puedes decirme quién es la persona más alta del mundo? ?,Can you tell me who's the tallest person in the world?,None
METALW-033293-0002,¿Te refieres a la persona viva más alta o la más alta de todos los tiempos?,You mean the tallest or highest living person of all time?,None
METALW-033293-0003,Hagámoslo con vida.,Let's get him alive.,None
METALW-033293-0004,"Sultan Kosen es el hombre más alto con 8'3"".","Sultan Kosen is the tallest man with 8'3.""",None
METALW-033293-0005,"Vaya, es alto.","Wow, he's tall.",None
METALW-033293-0006,"Sí, lo es.","Yes, it is.",None
METALW-033293-0007,¿Quién es la mujer más alta?,Who's the tallest woman?,None
METALW-033293-0008,"Yao Defen mide 7'8"".","Yao Defen is 7'8.""",None
METALW-033293-0009,Gracias por la información.,Thanks for the information.,None
METALW-033293-0010,¡Ten un buen día!,Have a good day!,None
METALW-033294-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-033294-0001,ayúdame con los récords mundiales,help me with the world records,None
METALW-033294-0002,seguro,sure,None
METALW-033294-0003,¿dónde se encuentra la cascada interior más alta?,Where is the highest inner waterfall?,None
METALW-033294-0004,Hawai,Hawaii,None
METALW-033294-0005,¿Qué hay de la cascada al aire libre más alta?,What about the highest outdoor waterfall?,None
METALW-033294-0006,Puerto Rico,Puerto Rico,None
METALW-033294-0007,¿Qué tan alto es ese?,How high is that?,None
METALW-033294-0008,60 pies,60 feet,None
METALW-033294-0009,cualquier posibilidad de que conozca su caudal?,any chance you know your flow rate?,None
METALW-033294-0010,20 metros por segundo,20 meters per second,None
METALW-033295-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-033295-0001,hola.,Hello.,None
METALW-033295-0002,Hola,Hello,None
METALW-033295-0003,¿Quién es el hombre más alto del mundo?,Who's the tallest man in the world?,None
METALW-033295-0004,Sultán Ksen,Sultan Ksen,None
METALW-033295-0005,uau. ¿Qué tan alto es?,wow. How tall is it?,None
METALW-033295-0006,8 pies 3 tres pulgadas,8 feet 3 three inches,None
METALW-033295-0007,¿Sigue vivo?,Is he still alive?,None
METALW-033295-0008,"Sí, todavía vivo","Yes, I'm still alive.",None
METALW-033295-0009,Bien. Gracias por la información.,Not bad. Thanks for the information.,None
METALW-033295-0010,De nada,You are welcome,None
METALW-033296-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-033296-0001,ayúdame a buscar récords mundiales,help me look for world records,None
METALW-033296-0002,Sí. ¿Qué es?,Yes. What is it?,None
METALW-033296-0003,¿Cuál es el sonido más fuerte jamás grabado?,What is the loudest sound ever recorded?,None
METALW-033296-0004,fue erupción volcánica de Krakatoa,was a volcanic eruption of Krakatoa,None
METALW-033296-0005,¿Qué tan fuerte fue eso?,How strong was that?,None
METALW-033296-0006,se rompió a 40 millas de distancia,broke 40 miles away,None
METALW-033296-0007,wow alguien murió de eso?,wow someone died of that?,None
METALW-033296-0008,nadie murió,nobody died,None
METALW-033296-0009,¿Crees que volverá a estallar?,Do you think it'll explode again?,None
METALW-033296-0010,Sí. puede,Yes. can,None
METALW-033297-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-033297-0001,ayúdame con los récords mundiales,help me with the world records,None
METALW-033297-0002,"Claro, ¿con qué registros necesitas ayuda?","Of course, what records do you need help with?",None
METALW-033297-0003,¿Cuál es el punto más profundo de la Tierra?,What's the deepest point on Earth?,None
METALW-033297-0004,El retador profundo es el punto más profundo de la tierra.,The deep challenger is the deepest point on earth.,None
METALW-033297-0005,¿Qué tan profundo es eso?,How deep is that?,None
METALW-033297-0006,10994 metros,10994 meters,None
METALW-033297-0007,¿Alguien ha estado ahí abajo?,Has anyone been down there?,None
METALW-033297-0008,No,No,None
METALW-033297-0009,"entonces, ¿cómo lo midieron?",So how did they measure it?,None
METALW-033297-0010,Tecnología de sonar,Sonar technology,None
METALW-033298-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-033298-0001,¿Dónde está la cascada interior más alta?,Where is the highest inner waterfall?,None
METALW-033298-0002,Singapur.,Singapore.,None
METALW-033298-0003,¿Cómo se llama?,What's your name?,None
METALW-033298-0004,Bosque nuboso,Cloud forest,None
METALW-033298-0005,¿Cuál es la cascada más alta de América?,What is the highest waterfall in America?,None
