UID,SEG,translation,profanity
METALW-011444-0002,"Sí, puedo ayudarte con eso.","Yes, I can help you with that.",None
METALW-011444-0003,Estoy buscando cualquier espectáculo programado para tocar a las 9 PM el 15 de julio,I'm looking for any show scheduled to play at 9 p.m. on July 15,None
METALW-011444-0004,"El 15 de julio hay tres obras de teatro jugando a las 9PM. Son Julio César, Hamlet y Pigmalión.","On July 15, there are three plays playing at 9PM. It's Julius Caesar, Hamlet and Pygmalion.",None
METALW-011444-0005,Me gustaría ver Hamlet,I'd like to see Hamlet,None
METALW-011444-0006,Hamlet es una gran obra.,Hamlet is a great play.,None
METALW-011444-0007,¿Puedes reservar dos entradas para el balcón?,Can you book two balcony tickets?,None
METALW-011444-0008,Los boletos de balcón comienzan en $50. ¿Está bien?,Balcony tickets start at $50. It is ok?,None
METALW-011444-0009,Puedo permitirme eso,I can afford that.,None
METALW-011444-0010,Bien. He reservado dos entradas en el balcón para ti. Su total es de $100. ¿Hay algo más con lo que pueda ayudarte?,Not bad. I've booked two entrances on the balcony for you. His total is $100. Is there anything else I can help you with?,None
METALW-011444-0011,"¡No, eso es todo, gracias!","No, that's it, thank you!",None
METALW-011444-0012,De nada.,You are welcome.,None
METALW-011445-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-011445-0001,Necesito ayuda para programar un espectáculo en un festival,I need help scheduling a show at a festival,None
METALW-011445-0002,"Bien, ¿cuándo es ese festival?","Well, when's that festival?",None
METALW-011445-0003,Festival de Chicago en junio,Chicago Festival in June,None
METALW-011445-0004,Bien,Not bad,None
METALW-011445-0005,"En el Teatro Hladik, ¿actúan allí Los Enemigos?","At the Hladik Theatre, do the Enemies perform there?",None
METALW-011445-0006,"Lo siento, pero no puedo encontrar ninguna actividad en el teatro Hladik en esa fecha, pero habrá una obra de teatro en el Auditorio Menard uNIVERSITY A las 8 PM","I'm sorry, but I can't find any activity at the Hladik Theater on that date, but there will be a play at the Menard uNIVERSITY Auditorium at 8 p.m.",None
METALW-011445-0007,"Es bueno saberlo, pero no estoy buscando eso.","It's good to know, but I'm not looking for that.",None
