UID,SEG,translation,profanity
METALW-036830-0010,"Yo diría que llévala a comer algo de comida italiana entonces, no puedes equivocarse con una bonita cena italiana. La comida japonesa es genial, pero algunas personas mayores no están tan locas por ella como las generaciones más jóvenes.","I'd say take her to some Italian food then, you can't go wrong with a nice Italian dinner. Japanese food is great, but some older people aren't as crazy about it as younger generations.",None
METALW-036830-0011,¡Bien! Eso tiene sentido. Llegaremos a la casa italiana. Gracias.,Not bad! That makes sense. We'll get to the Italian house. Thank you.,None
METALW-036830-0012,¡Bien! ¡Que tengas una buena cena!,Not bad! Have a nice dinner!,None
METALW-036831-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-036831-0001,debo comer en japonés o italiano,I must eat in Japanese or Italian,None
METALW-036831-0002,¿En qué plato estás pensando?,What dish are you thinking about?,None
METALW-036831-0003,No sé. es por eso que im aasking,I do not know. that's why im aasking,None
METALW-036831-0004,Yo diría italiano,I'd say Italian,None
METALW-036831-0005,por qué,Why,None
METALW-036831-0006,La pasta suena bien,Pasta sounds good,None
METALW-036831-0007,cualquier buen italiano a mi alrededor,any good Italian around me,None
METALW-036831-0008,Maggio's,Maggio's,None
METALW-036831-0009,Me encanta ese lugar,I love that place.,None
METALW-036831-0010,Me alegro de poder ayudar,I'm glad I can help,None
METALW-036832-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-036832-0001,Necesito ayuda para tomar una decisión,I need help making a decision.,None
METALW-036832-0002,¿Qué ayuda necesitas?,What help do you need?,None
METALW-036832-0003,"Bueno, me acaban de ofrecer un ascenso en el trabajo, y no sé si debería tomarlo","Well, I just got a promotion at work, and I don't know if I should take it.",None
METALW-036832-0004,¿Por qué pensar? ¿Tu trabajo es ilegal?,Why think? Is your job illegal?,None
METALW-036832-0005,"No, el trabajo es genial. Pero la promoción viene con mucha responsabilidad y no están ofreciendo un aumento de sueldo","No, the job's great. But promotion comes with a lot of responsibility and they're not offering a pay raise",None
METALW-036832-0006,Cada trabajo viene con gran responsabilidad.,Every job comes with great responsibility.,None
METALW-036832-0007,"Claro, supongo. Pero debería pagarme por eso, ¿no?","Sure, I guess. But you should pay me for that, shouldn't you?",None
METALW-036832-0008,"Sí, trata de contárselo a tu jefe.","Yes, try telling your boss.",None
METALW-036832-0009,¿Crees que debería aceptar el ascenso?,Do you think I should accept promotion?,None
