UID,SEG,translation,profanity
METALW-007026-0001,¿Todavía se supone que hay una tormenta hoy como la hubo originalmente?,Is there still supposed to be a storm today as it originally was?,None
METALW-007026-0002,¿Qué ubicación?,What location?,None
METALW-007026-0003,Denver,Denver,None
METALW-007026-0004,"No, la tormenta ha ido a la deriva hacia el norte.","No, the storm's drifted north.",None
METALW-007026-0005,¡Eso me enoja! ¿Por qué?,That makes me angry! Why?,None
METALW-007026-0006,¿Te gustaría la tormenta?,Would you like the storm?,None
METALW-007026-0007,¡Sí! Realmente me molesta que no vaya a haber uno ahora.,Yes! It really bothers me that there's not going to be one now.,None
METALW-007026-0008,"¡Lo siento, me comunicaré con la madre naturaleza inmediatamente!","I'm sorry, I'll get in the way of Mother Nature immediately!",None
METALW-007026-0009,¿Por qué no va a haber uno?,Why isn't there going to be one?,None
METALW-007026-0010,El radar lo dice.,Radar says so.,None
METALW-007027-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-007027-0001,Estoy tratando de recordar algo ¿puedes ayudarme?,"I'm trying to remember something, can you help me?",None
METALW-007027-0002,Adelante.,Go ahead.,None
METALW-007027-0003,Estoy viendo una vieja película que un montón de niños están fuera del campamento de verano. No recuerdo el nombre,I'm watching an old movie that a lot of kids are out of summer camp. I don't remember the name.,None
METALW-007027-0004,Creo que su señor de los anillos,I think your lord of the rings,None
METALW-007027-0005,No estos niños están en un campamento de verano y bill Murray's en la película,Not these kids are in a summer camp and bill Murray's in the movie,None
METALW-007027-0006,niños en la cuadra,children on the block,None
METALW-007027-0007,"No, salí como en 1980","No, I came out like in 1980.",None
METALW-007027-0008,¿seguro? ¿realmente?,sure? really?,None
METALW-007027-0009,Sí,Yes,None
METALW-007027-0010,Bien,Not bad,None
METALW-007028-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-007028-0001,"Hola, ¿puedes ayudarme a recordar el título de un libro?","Hello, can you help me remember the title of a book?",None
METALW-007028-0002,"Seguro que puedo, ¿cuál es la descripción?","I'm sure I can, what's the description?",None
METALW-007028-0003,Se trata de este tipo que caza una ballena por venganza.,It's about this guy who hunts a whale for revenge.,None
METALW-007028-0004,Eso suena muy similar a Moby Dick.,That sounds very similar to Moby dick.,dick
METALW-007028-0005,"No, no es Moby Dick.","No, it's not Moby dick.",dick
METALW-007028-0006,"Dame más detalles, por favor.","Give me more details, please.",None
METALW-007028-0007,Se trata de un tipo al que le cortan la pierna por una ballena y trata de encontrarla y matarla. ¿Lo sabes bien?,He's a guy who gets his leg cut off by a whale and tries to find and kill her. You know that?,None
METALW-007028-0008,"Sí, estoy seguro de que es Moby Dick.","Yes, I'm sure it's Moby dick.",dick
METALW-007028-0009,"Oh espera, tienes razón, es Moby Dick. Gracias.","Oh wait, you're right, it's Moby dick. Thank you.",dick
METALW-007028-0010,¡De nada!,You are welcome!,None
METALW-007029-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-007029-0001,"Oye, tengo una petición rara. ¿Tal vez puedas ayudar?","Hey, I got a weird request. Maybe you can help?",None
METALW-007029-0002,¿Cuál es su petición>,What's your request>,None
METALW-007029-0003,Estoy tratando de recordar el nombre de una película que vi hace unos años.,I'm trying to remember the name of a movie I saw a few years ago.,None
METALW-007029-0004,¿Qué año viste la película?,What year did you see the movie?,None
METALW-007029-0005,No puedo recordarlo. Sólo recuerdo que se trataba de estos tipos que tenían que escalar una montaña y luego tirar esta cosa a la montaña...,I can't remember. I just remember it was these guys who had to climb a mountain and then throw this thing on the mountain...,None
METALW-007029-0006,¿Es el Señor de los Anillos?,Is he the Lord of the Rings?,None
METALW-007029-0007,¡Eso es todo! ¡Eso es todo! ¡Gracias!,That's all! That's all! Thank you!,None
METALW-007029-0008,De nada. ¿Alguna otra petición?,You are welcome. Any other requests?,None
METALW-007029-0009,Creo que eso es todo por ahora. Gracias de nuevo.,I think that's it for now. Thanks again.,None
METALW-007029-0010,Eres bienvenido en cualquier momento.,You're welcome any minute.,None
METALW-007030-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-007030-0001,hola. Estaba tratando de recordar el nombre de una banda que solía escuchar.,Hello. I was trying to remember the name of a band I used to hear.,None
METALW-007030-0002,¿Seguro que puedes darme más información?,Are you sure you can give me more information?,None
