UID,SEG,translation,profanity
METALW-009670-0003,Me gustaría saber si se proporciona seguro médico.,I would like to know if health insurance is provided.,None
METALW-009670-0004,"Se proporciona, después de 6 meses","Provided, after 6 months",None
METALW-009670-0005,¿Para todos los empleados?,For all employees?,None
METALW-009670-0006,"Sí, es una política de toda la empresa","Yes, it's a company-wide policy.",None
METALW-009670-0007,"Gracias, esto responde a mi pregunta.","Thank you, this answers my question.",None
METALW-009670-0008,Cualquier otra cosa con la que pueda ayudarte,Anything else I can help you with,None
METALW-009670-0009,No en este momento.,Not right now.,None
METALW-009670-0010,De acuerdo,I agree,None
METALW-009671-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-009671-0001,Tengo una pregunta sobre mi seguro médico,I have a question about my health insurance,None
METALW-009671-0002,"Claro, puedo responder preguntas sobre el seguro médico. ¿Qué te gustaría saber?","Sure, I can answer questions about health insurance. What would you like to know?",None
METALW-009671-0003,¿La compañía proporciona seguro médico,Does the company provide health insurance,None
METALW-009671-0004,"Desafortunadamente, hay una trampa.","Unfortunately, there's a trap.",None
METALW-009671-0005,¿Qué es eso?,What is that?,None
METALW-009671-0006,Usted tiene que haber trabajado para la empresa durante seis meses para calificar.,You must have worked for the company for six months to qualify.,None
METALW-009671-0007,Oh ok,Oh ok,None
METALW-009671-0008,¿Puedo ayudarte con algo más hoy?,Can I help you with anything else today?,None
METALW-009671-0009,"No, gracias",No thanks,None
METALW-009671-0010,¡Que tengas un buen día!,Have a nice day!,None
METALW-009672-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-009672-0001,"Hola, tengo una pregunta sobre una compañía.","Hi, I have a question about a company.",None
METALW-009672-0002,¿Cuál es la pregunta?,What's the question?,None
METALW-009672-0003,¿Cuál es la política de Microsoft sobre mascotas?,What is Microsoft's pet policy?,None
METALW-009672-0004,No están permitidos en el trabajo. Sólo animales de servicio.,They're not allowed at work. Only service animals.,None
METALW-009672-0005,"Entonces, si traigo 1.000 tarántulas, ¿no está bien? ¿Y si cada taranturla tiene un perro de servicio?","So, if I bring 1, 000 tarantulas, right? What if every taranturla has a service dog?",None
METALW-009672-0006,"La única regla es contra las mascotas. Si no son tus mascotas, no hay ninguna regla en contra.","The only rule is against pets. If they are not your pets, there is no rule against it.",None
METALW-009672-0007,Fingiré que no son míos.,I'll pretend they're not mine.,None
METALW-009672-0008,¡Pensamiento inteligente!,Smart thinking!,None
METALW-009672-0009,¡Muchas gracias!,Thanks a lot!,None
METALW-009672-0010,De nada.,You are welcome.,None
METALW-009673-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-009673-0001,"Hola, quiero saber información con respecto a su política","Hello, I want to know information regarding your policy",None
METALW-009673-0002,Lo intentaré,I will try,None
METALW-009673-0003,"En primer lugar, puedes contarme un poco sobre tu compañía","First of all, you can tell me a little bit about your company",None
METALW-009673-0004,No puedo ayudarte a eso.,I can't help you with that.,None
METALW-009673-0005,¿Qué es lo que estás vendiendo en paticular,What are you selling on a paticular,None
METALW-009673-0006,No estoy preparado para ayudar.,I'm not ready to help.,None
METALW-009673-0007,Cuéntame un poco sobre tus políticas de devolución,Tell me a little bit about your return policies,None
METALW-009673-0008,está fuera de mi regla. rol,it's out of my rule. role,None
METALW-009673-0009,¿Con qué puedes ayudarme?,What can you do for me?,None
METALW-009673-0010,Cualquier cosa menos eso.,Anything but that.,None
METALW-009673-0011,Gracias,Thank you,None
METALW-009673-0012,arrepentido,repentant,None
METALW-009674-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-009674-0001,ayúdame con la política de la empresa,help me with company policy,None
METALW-009674-0002,Puedo ayudarte con eso. ¿Qué necesitas saber?,I can help you with that. What do you need to know?,None
METALW-009674-0003,¿Puedo usar pantalones cortos ajustados para la oficina?,Can I wear tight shorts for the office?,None
