UID,SEG,translation,profanity
METALW-000887-0003,Tuve un accidente menor y me preguntaba cuánto deducible tengo?,I had a minor accident and wondered how much deductible I have?,None
METALW-000887-0004,500,500,None
METALW-000887-0005,¿Cuánto cubre mi seguro?,How much does my insurance cover?,None
METALW-000887-0006,1000,1000,None
METALW-000887-0007,¿A pesar de que no he usado nada ni he tenido ningún accidente antes? Eso parece bajo,Even though I haven't used anything or had any accidents before? That seems low.,None
METALW-000887-0008,este es su plan,this is your plan,None
METALW-000887-0009,"Ok gracias, ¿podría recibir un correo electrónico con opciones de plan para cambiar mi plan?","Okay, thank you, could I get an email with plan options to change my plan?",None
METALW-000887-0010,Sí,Yes,None
METALW-000888-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-000888-0001,Quiero información sobre los planes de seguro.,I want information on insurance plans.,None
METALW-000888-0002,¿Seguro que qué necesitas?,Are you sure what you need?,None
METALW-000888-0003,¿Llevas seguro de automóvil?,Do you have car insurance?,None
METALW-000888-0004,¿Sí que lo hacemos? ¿en qué estado estás?,Do we? What state are you in?,None
METALW-000888-0005,Vivo en Nuevo México.,I live in New Mexico.,None
METALW-000888-0006,"Ok, ¿qué ciudad?","Okay, what city?",None
METALW-000888-0007,Las Vegas.,Las Vegas.,None
METALW-000888-0008,"Ok, ¿te gustaría presentar una solicitud?","Okay, would you like to apply?",None
METALW-000888-0009,No en este momento. Me pregunto si lo ofreciste. Gracias por su tiempo.,Not right now. I wonder if you offered it. Thank you for your time.,None
METALW-000888-0010,¿Hay algo más con lo que pueda ayudar?,Is there anything else I can help with?,None
METALW-000889-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-000889-0001,Necesito tu ayuda,I need your help,None
METALW-000889-0002,¿Cómo puedo ayudarle?,How can I help you?,None
METALW-000889-0003,"Quiero obtener un seguro, pero quiero saber las cubiertas de pólizas actuales por favor","I want to get insurance, but I want to know the current policy covers please",None
METALW-000889-0004,"Su política actual cubre los daños causados por el agua, el fuego y los actos de Dios.","His current policy covers the damage caused by water, fire, and God's actions.",None
METALW-000889-0005,¿Hay alguna manera de arreglarlo?,Is there a way to fix it?,None
METALW-000889-0006,"Lo siento, no sé a qué te refieres.","I'm sorry, I don't know what you mean.",None
METALW-000889-0007,Quiero un seguro.,I want insurance.,None
