UID,SEG,translation,profanity
METALW-013209-0003,el espectáculo de stand-up en el teatro odeon mañana por la noche,the stand-up show at the odeon theater tomorrow night,None
METALW-013209-0004,Permítanme comprobar la disponibilidad de ese evento.,Let me check the availability of that event.,None
METALW-013209-0005,De acuerdo,I agree,None
METALW-013209-0006,Lo siento. No hay asientos disponibles para ese evento.,I am sorry. There are no seats available for that event.,None
METALW-013209-0007,"Oh, ¿qué hay de la noche siguiente","Oh, what about the next night",None
METALW-013209-0008,Hay asientos disponibles para mañana. ¿Cuántos asientos quieres que reserve?,Seats are available for tomorrow. How many seats do you want me to book?,None
METALW-013209-0009,4,4,None
METALW-013209-0010,Bien. He reservado 4 asientos para ti mañana.,Not bad. I've booked four seats for you tomorrow.,None
METALW-013210-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-013210-0001,Quiero reservar un asiento en el teatro esta noche. ¿Me puedes ayudar?,I want to book a seat at the theater tonight. Can you help me?,None
METALW-013210-0002,"Claro, ¿qué programa necesitas reservar?","Sure, what program do you need to book?",None
METALW-013210-0003,¿Las grandes expectativas están jugando en cualquier parte de San Francisco?,Are high expectations playing anywhere in San Francisco?,None
METALW-013210-0004,Hay un espectáculo a las 7:00 y 10:30 en el Teatro Cardenal en San Francisco esta noche,There's a show at 7:00 and 10:30 at the Cardinal Theater in San Francisco tonight.,None
METALW-013210-0005,"Bien, ¿Puede reservarme un asiento para el show de las 10:30 pm por favor","Well, can you book me a seat for the 10:30 p.m. show, please",None
METALW-013210-0006,Desafortunadamente parece que ese espectáculo ya está completamente agotado. Disculpas por la inconveniiencia,"Unfortunately, it seems that show is already completely exhausted. Apologies for inconvenience",None
METALW-013210-0007,¿Qué tal el show de las 7:00 pm?,How was the 7:00 p.m. show?,None
METALW-013210-0008,Todavía hay billetes aviables. ¿Cuántos te gustaría reservar?,There are still air tickets. How many would you like to book?,None
METALW-013210-0009,Sí. Sólo necesito un asiento preferiblemente en el centro,Yes. I just need a seat preferably in the center,None
METALW-013210-0010,El total es de $45.32 y se puede recoger el boleto en la taquilla por el lugar.,The total is $45.32 and you can pick up the ticket at the ticket office for the place.,None
METALW-013211-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-013211-0001,Quiero entradas para un teatro,I want tickets to a theater,None
METALW-013211-0002,¡Ese es mi trabajo! ¿En qué teatro estabas pensando?,That's my job! What theater were you thinking about?,None
METALW-013211-0003,Teatro Masterpiece,Masterpiece Theatre,None
METALW-013211-0004,¿Y qué noche?,And what night?,None
METALW-013211-0005,Este viernes por la noche,This Friday night,None
METALW-013211-0006,"Lo siento, no hay asientos disponibles este viernes por la noche.","I'm sorry, there are no seats available this Friday night.",None
METALW-013211-0007,¿Qué tal Satruday? Sábado,How's Satruday? Saturday,None
METALW-013211-0008,"Lo siento, tampoco los hay el sábado.","I'm sorry, there aren't any on Saturday either.",None
METALW-013211-0009,¿Cuál es la próxima disponibilidad?,What is the next availability?,None
METALW-013211-0010,"Masterpiece Theatre está cerrado, así que nunca.","Masterpiece Theatre is closed, so never.",None
METALW-013211-0011,Bien,Not bad,None
METALW-013212-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-013212-0001,hola. ¿Quiero comprobar si tenemos el boleto para el partido?,Hello. Do I want to check if we have the ticket to the game?,None
METALW-013212-0002,¿Qué juego?,What game?,None
METALW-013212-0003,Partido de fútbol este domingo.,Football game this Sunday.,None
METALW-013212-0004,¿Quién está jugando?,Who's playing?,None
METALW-013212-0005,Gigantes.,Giant.,None
METALW-013212-0006,Ok verí que tienes 4 entradas para el juego,Ok I'll see you have 4 tickets to the game,None
METALW-013212-0007,Bien. ¿Para qué hora es el juego?,Not bad. What time is the game?,None
METALW-013212-0008,19:00 horas del sábado,7 p.m. on Saturday,None
METALW-013212-0009,impresionante. Gracias por su ayuda.,impressive. Thank you for your help.,None
METALW-013212-0010,"Sí,",Yes,None
METALW-013213-0000,"Hola, ¿en qué puedo ayudarle?","Hi, how can I help you?",None
METALW-013213-0001,"Hola, necesito ayuda con la fiesta de cumpleaños de mi hijo.","Hi, I need help with my son's birthday party.",None
METALW-013213-0002,¿Qué hay de eso?,What about that?,None
METALW-013213-0003,Quiero reservar una tienda de circo. El dinero no es un objeto para mí.,I want to book a circus shop. Money is not an object for me.,None
METALW-013213-0004,"Bien. por favor, espere mientras lo compruedo",Not bad. please wait while I check it out,None
METALW-013213-0005,Tómate tu tiempo. Pero no me hagas esperar mucho tiempo.,Take your time. But don't make me wait too long.,None
METALW-013213-0006,"al comprobar, la tienda de circo cuesta $150,000","when checking, the circus shop costs $150,000",None
METALW-013213-0007,¡Dios mío! Eso es una locura. No me gusta en absoluto ese precio. Tienes que bajar ese precio ahora mismo.,My god! That's crazy. I don't like that price at all. You have to lower that price right now.,None
METALW-013213-0008,Bien. ¿Te gustaría el menor?,Not bad. Would you like the youngest?,None
METALW-013213-0009,No es posible. Quiero esa si es la mejor.,It's not possible. I want that one if it's the best.,None
METALW-013213-0010,Bien,Not bad,None
